slot,usdt_usd,binance_open,binance_close,brti_proxy,offset_hat,offset_real,strike_naive,strike_offsetaware,kalshi_result,poly_up_wins,naive_outcome,offsetaware_outcome
2026-05-30 20:00,0.99869,73884.38,74038.2,73933.48,96.79,104.72,73899.99,73899.99,yes,True,split,split
2026-05-30 21:00,0.99857,74038.2,74058.01,73961.07,105.87,96.94,73999.99,74099.99,no,True,both_lose,both_win
2026-05-30 22:00,0.99857,74058.01,74090.84,73992.04,105.9,98.8,74099.99,74099.99,no,True,both_win,both_win
2026-05-30 23:00,0.99867,74090.84,74150.64,74050.86,98.54,99.78,74099.99,74099.99,no,True,both_win,both_win
2026-05-31 00:00,0.99867,74150.64,74178.4,74094.56,98.62,83.84,74199.99,74199.99,no,True,both_win,both_win
2026-05-31 01:00,0.9986,74178.41,74055.98,73973.13,103.85,82.85,74199.99,74199.99,no,False,split,split
2026-05-31 02:00,0.99869,74055.99,74054.87,73962.71,97.01,92.16,74099.99,74099.99,no,False,split,split
2026-05-31 03:00,0.99873,74054.86,73871.24,73775.23,94.05,96.01,74099.99,74099.99,no,False,split,split
2026-05-31 04:00,0.9986,73871.25,73937.61,73853.18,103.42,84.43,73899.99,73899.99,no,True,both_win,both_win
2026-05-31 05:00,0.99872,73937.62,73841.79,73737.32,94.64,104.47,73899.99,73999.99,no,False,split,split
2026-05-31 06:00,0.99874,73841.79,73900.0,73798.47,93.04,101.53,73799.99,73899.99,no,True,both_lose,both_win
2026-05-31 07:00,0.99876,73900.0,73937.79,73872.26,91.64,65.53,73899.99,73999.99,no,True,both_lose,both_win
2026-05-31 08:00,0.99858,73937.63,73920.0,73823.1,104.99,96.9,73899.99,73999.99,no,False,split,split
2026-05-31 09:00,0.99867,73920.0,73872.8,73770.72,98.31,102.08,73899.99,73999.99,no,False,split,split
2026-05-31 10:00,0.99858,73872.8,73602.17,73521.07,104.9,81.1,73899.99,73899.99,no,False,split,split
2026-05-31 11:00,0.99855,73602.18,73655.21,73563.99,106.72,91.22,73599.99,73699.99,no,True,both_lose,both_win
2026-05-31 12:00,0.99856,73655.2,73526.14,73439.45,106.06,86.69,73699.99,73699.99,no,False,split,split
2026-05-31 13:00,0.99868,73526.15,73709.44,73604.88,97.05,104.56,73499.99,73599.99,yes,True,split,split
2026-05-31 14:00,0.99874,73709.43,73603.69,73532.22,92.87,71.47,73699.99,73799.99,no,False,split,split
2026-05-31 15:00,0.9986,73603.68,73563.42,73470.52,103.05,92.9,73599.99,73699.99,no,False,split,split
2026-05-31 16:00,0.99857,73563.41,73739.66,73637.64,105.2,102.02,73499.99,73749.99,no,True,split,both_win
2026-05-31 17:00,0.9987,73739.67,73892.52,73784.56,95.86,107.96,73699.99,73799.99,no,True,split,both_win
2026-05-31 18:00,0.99856,73892.52,73944.62,73874.45,106.41,70.17,73899.99,73899.99,no,True,both_win,both_win
2026-05-31 19:00,0.99862,73944.62,73674.39,73578.23,102.04,96.16,73899.99,73999.99,no,False,split,split
2026-05-31 20:00,0.99865,73674.39,73885.0,73795.81,99.46,89.19,73699.99,73699.99,yes,True,split,split
2026-05-31 21:00,0.99858,73885.01,73292.92,73211.42,104.92,81.5,73899.99,73899.99,no,False,split,split
2026-05-31 22:00,0.99858,73292.92,73790.0,73706.02,104.08,83.98,73299.99,73299.99,yes,True,split,split
2026-05-31 23:00,0.99866,73789.99,73769.06,73675.9,98.88,93.16,73799.99,73799.99,no,False,split,split
2026-06-01 00:00,0.9986,73769.06,73536.01,73457.91,103.28,78.1,73799.99,73799.99,no,False,split,split
2026-06-01 01:00,0.99862,73536.01,73350.0,73259.05,101.48,90.95,73499.99,73599.99,no,False,split,split
2026-06-01 02:00,0.99865,73349.99,73135.74,73046.1,99.02,89.64,73299.99,73399.99,no,False,split,split
2026-06-01 03:00,0.99878,73135.75,72818.0,72727.19,89.23,90.81,73099.99,73199.99,no,False,split,split
2026-06-01 04:00,0.99876,72818.0,72902.65,72808.88,90.29,93.77,72799.99,72899.99,no,True,split,both_win
2026-06-01 05:00,0.99888,72902.64,72880.0,72800.66,81.65,79.34,72899.99,72999.99,no,False,split,split
2026-06-01 06:00,0.99889,72880.0,72748.88,72670.76,80.9,78.12,72899.99,72899.99,no,False,split,split
2026-06-01 07:00,0.99874,72748.88,72479.99,72325.92,91.66,154.07,72699.99,72799.99,no,False,split,split
2026-06-01 08:00,0.99876,72480.0,72221.73,72126.36,89.88,95.37,72499.99,72499.99,no,False,split,split
2026-06-01 09:00,0.99847,72221.74,71711.89,71586.91,110.5,124.98,72199.99,72299.99,no,False,split,split
2026-06-01 10:00,0.99851,71711.89,71567.91,71401.85,106.85,166.06,71699.99,71799.99,no,False,split,split
2026-06-01 11:00,0.99834,71567.91,71129.62,70985.18,118.8,144.44,71599.99,71599.99,no,False,split,split
2026-06-01 12:00,0.99848,71129.62,71564.01,71466.69,108.12,97.32,71099.99,71199.99,yes,True,split,split
2026-06-01 13:00,0.99861,71564.01,71646.01,71570.0,99.47,76.01,71599.99,71599.99,no,True,both_win,both_win
2026-06-01 14:00,0.99868,71646.0,71498.64,71421.3,94.57,77.34,71599.99,71699.99,no,False,split,split
2026-06-01 15:00,0.99873,71498.64,71595.24,71490.83,90.8,104.41,71499.99,71499.99,no,True,both_win,both_win
2026-06-01 16:00,0.99896,71595.24,71446.0,71359.93,74.46,86.07,71499.99,71749.99,no,False,split,split
2026-06-01 17:00,0.99875,71445.99,71038.01,70962.09,89.31,75.92,71399.99,71499.99,no,False,split,split
2026-06-01 18:00,0.9988,71038.01,71408.0,71329.23,85.25,78.77,70999.99,71099.99,yes,True,split,split
2026-06-01 19:00,0.99862,71407.99,71408.9,71334.79,98.54,74.11,71399.99,71499.99,no,True,both_lose,both_win
2026-06-01 20:00,0.99891,71408.9,71289.23,71183.19,77.84,106.04,71399.99,71499.99,no,False,split,split
2026-06-01 21:00,0.99871,71289.24,70652.47,70632.13,91.96,20.34,71299.99,71299.99,no,False,split,split
2026-06-01 22:00,0.99872,70652.47,70846.49,70694.9,90.44,151.59,70699.99,70699.99,no,True,both_win,both_win
2026-06-01 23:00,0.99863,70846.48,70953.69,70855.57,97.06,98.12,70799.99,70899.99,no,True,split,both_win
2026-06-02 00:00,0.9986,70953.7,70810.0,70701.22,99.34,108.78,70999.99,70999.99,no,False,split,split
2026-06-02 01:00,0.99847,70810.0,70268.96,70184.96,108.34,84.0,70799.99,70899.99,no,False,split,split
2026-06-02 02:00,0.99844,70268.97,70106.31,70008.12,109.62,98.19,70299.99,70299.99,no,False,split,split
2026-06-02 03:00,0.99862,70106.31,70118.42,70026.42,96.75,92.0,70099.99,70199.99,no,True,both_lose,both_win
2026-06-02 04:00,0.99854,70118.42,69821.99,69712.58,102.37,109.41,70099.99,70199.99,no,False,split,split
2026-06-02 05:00,0.99849,69822.0,69426.01,69321.26,105.43,104.75,69799.99,69899.99,no,False,split,split
2026-06-02 06:00,0.99845,69426.01,69652.19,69570.46,107.61,81.73,69399.99,69499.99,yes,True,split,split
2026-06-02 07:00,0.99873,69652.18,69461.72,69398.38,88.46,63.34,69699.99,69699.99,no,False,split,split
2026-06-02 08:00,0.99861,69461.73,69010.42,68975.68,96.55,34.74,69499.99,69499.99,no,False,split,split
2026-06-02 09:00,0.99854,69010.41,68811.91,68680.28,100.76,131.63,68999.99,69099.99,no,False,split,split
2026-06-02 10:00,0.99837,68809.93,68019.3,67876.14,112.16,143.16,68799.99,68899.99,no,False,split,split
2026-06-02 11:00,0.99843,68019.3,67304.28,67192.48,106.79,111.8,67999.99,68099.99,no,False,split,split
2026-06-02 12:00,0.99834,67304.29,67413.44,67317.28,111.73,96.16,67299.99,67399.99,no,True,split,both_win
2026-06-02 13:00,0.9984,67413.44,67492.34,67390.43,107.86,101.91,67399.99,67499.99,no,True,both_lose,both_win
2026-06-02 14:00,0.99852,67492.34,67341.99,67243.58,99.89,98.41,67499.99,67499.99,no,False,split,split
2026-06-02 15:00,0.99846,67341.99,67315.14,67180.88,103.71,134.26,67299.99,67399.99,no,False,split,split
2026-06-02 16:00,0.99867,67315.14,67587.77,67498.77,89.53,89.0,67249.99,67499.99,no,True,split,both_win
2026-06-02 17:00,0.99869,67587.78,67566.01,67481.21,88.54,84.8,67599.99,67599.99,no,False,split,split
2026-06-02 18:00,0.99852,67566.01,66385.2,66251.23,100.0,133.97,67599.99,67599.99,no,False,split,split
2026-06-02 19:00,0.99858,66385.2,66760.83,66673.06,94.27,87.77,66399.99,66399.99,yes,True,split,split
2026-06-02 20:00,0.99868,66760.84,66938.01,66871.53,88.12,66.48,66799.99,66799.99,yes,True,split,split
2026-06-02 21:00,0.9987,66938.01,66920.0,66846.01,87.02,73.99,66899.99,66999.99,no,False,split,split
2026-06-02 22:00,0.99872,66920.0,66620.01,66545.81,85.66,74.2,66899.99,66999.99,no,False,split,split
2026-06-02 23:00,0.99866,66620.0,65849.9,65770.85,89.27,79.05,66599.99,66699.99,no,False,split,split
2026-06-03 00:00,0.99866,65849.9,66465.98,66382.72,88.24,83.26,65799.99,65899.99,yes,True,split,split
2026-06-03 01:00,0.99863,66465.99,67330.01,67274.24,91.06,55.77,66499.99,66499.99,yes,True,split,split
2026-06-03 02:00,0.99864,67330.0,66983.27,66906.51,91.57,76.76,67299.99,67399.99,no,False,split,split
2026-06-03 03:00,0.99879,66983.27,67220.03,67139.87,81.05,80.16,66999.99,66999.99,yes,True,split,split
2026-06-03 04:00,0.99872,67220.03,67028.0,66941.22,86.04,86.78,67199.99,67299.99,no,False,split,split
2026-06-03 05:00,0.99865,67028.01,67075.17,67012.18,90.49,62.99,66999.99,67099.99,no,True,split,both_win
2026-06-03 06:00,0.99862,67075.18,67294.52,67201.8,92.56,92.72,67099.99,67099.99,yes,True,split,split
2026-06-03 07:00,0.99851,67294.51,67067.37,66985.33,100.27,82.04,67299.99,67299.99,no,False,split,split
2026-06-03 08:00,0.99864,67067.37,67078.72,66995.99,91.21,82.73,67099.99,67099.99,no,True,both_win,both_win
2026-06-03 09:00,0.99851,67078.72,66906.01,66803.07,99.95,102.94,67099.99,67099.99,no,False,split,split
2026-06-03 10:00,0.99855,66906.0,66864.95,66762.99,97.01,101.96,66899.99,66999.99,no,False,split,split
2026-06-03 11:00,0.99861,66864.95,66076.01,65999.19,92.94,76.82,66899.99,66899.99,no,False,split,split
2026-06-03 12:00,0.99863,66076.01,66061.83,65970.37,90.52,91.46,66099.99,66099.99,no,False,split,split
2026-06-03 13:00,0.99861,66061.83,65964.08,65884.97,91.83,79.11,66099.99,66099.99,no,False,split,split
2026-06-03 14:00,0.99875,65964.08,66036.57,65957.33,82.46,79.24,65999.99,65999.99,no,True,both_win,both_win
2026-06-03 15:00,0.99863,66036.56,65462.0,65380.34,90.47,81.66,65999.99,66099.99,no,False,split,split
2026-06-03 16:00,0.99876,65461.99,65007.27,64912.23,81.17,95.04,65499.99,65499.99,no,False,split,split
2026-06-03 17:00,0.99869,65007.27,65768.88,65672.31,85.16,96.57,64999.99,65099.99,yes,True,split,split
2026-06-03 18:00,0.99863,65768.89,64912.98,64787.52,90.1,125.46,65799.99,65799.99,no,False,split,split
2026-06-03 19:00,0.99872,64912.97,64142.75,64026.85,83.09,115.9,64899.99,64999.99,no,False,split,split
2026-06-03 20:00,0.99865,64142.75,63344.97,63221.29,86.59,123.68,64099.99,64199.99,no,False,split,split
2026-06-03 21:00,0.99864,63344.98,62178.1,62111.88,86.15,66.22,63299.99,63399.99,no,False,split,split
